RUA	NÚMERO	REGIÃO	COMPLEMENTO
12	6	Cemitério São João Batista	Novo
12	7	Cemitério São João Batista	Novo
12	8	Cemitério São João Batista	Novo
12	9	Cemitério São João Batista	Novo
12	10	Cemitério São João Batista	Novo
12	11	Cemitério São João Batista	Novo
12	12	Cemitério São João Batista	Novo
12	13	Cemitério São João Batista	Novo
12	14	Cemitério São João Batista	Novo
12	15	Cemitério São João Batista	Novo
12	16	Cemitério São João Batista	Novo
12	17	Cemitério São João Batista	Novo
12	18	Cemitério São João Batista	Novo
12	19	Cemitério São João Batista	Novo
12	20	Cemitério São João Batista	Novo
12	21	Cemitério São João Batista	Novo
12	22	Cemitério São João Batista	Novo
12	23	Cemitério São João Batista	Novo
12	24	Cemitério São João Batista	Novo
12	25	Cemitério São João Batista	Novo
12	26	Cemitério São João Batista	Novo
12	27	Cemitério São João Batista	Novo
12	28	Cemitério São João Batista	Novo
12	29	Cemitério São João Batista	Novo
12	30	Cemitério São João Batista	Novo
12	31	Cemitério São João Batista	Novo
12	32	Cemitério São João Batista	Novo
12	33	Cemitério São João Batista	Novo
12	34	Cemitério São João Batista	Novo
12	35	Cemitério São João Batista	Novo
12	36	Cemitério São João Batista	Novo
12	37	Cemitério São João Batista	Novo
12	38	Cemitério São João Batista	Novo
12	39	Cemitério São João Batista	Novo
12	40	Cemitério São João Batista	Novo
13	1	Cemitério São João Batista	Novo
13	2	Cemitério São João Batista	Novo
13	3	Cemitério São João Batista	Novo
13	4	Cemitério São João Batista	Novo
13	5	Cemitério São João Batista	Novo
13	6	Cemitério São João Batista	Novo
13	7	Cemitério São João Batista	Novo
13	8	Cemitério São João Batista	Novo
13	9	Cemitério São João Batista	Novo
13	10	Cemitério São João Batista	Novo
13	11	Cemitério São João Batista	Novo
13	12	Cemitério São João Batista	Novo
13	13	Cemitério São João Batista	Novo
13	14	Cemitério São João Batista	Novo
13	15	Cemitério São João Batista	Novo
13	16	Cemitério São João Batista	Novo
13	17	Cemitério São João Batista	Novo
13	18	Cemitério São João Batista	Novo
13	19	Cemitério São João Batista	Novo
13	20	Cemitério São João Batista	Novo
13	21	Cemitério São João Batista	Novo
13	22	Cemitério São João Batista	Novo
13	23	Cemitério São João Batista	Novo
13	24	Cemitério São João Batista	Novo
13	25	Cemitério São João Batista	Novo
13	26	Cemitério São João Batista	Novo
13	27	Cemitério São João Batista	Novo
13	28	Cemitério São João Batista	Novo
13	29	Cemitério São João Batista	Novo
13	30	Cemitério São João Batista	Novo
13	31	Cemitério São João Batista	Novo
13	32	Cemitério São João Batista	Novo
13	33	Cemitério São João Batista	Novo
13	34	Cemitério São João Batista	Novo
13	35	Cemitério São João Batista	Novo
13	36	Cemitério São João Batista	Novo
13	37	Cemitério São João Batista	Novo
13	38	Cemitério São João Batista	Novo
13	39	Cemitério São João Batista	Novo
13	40	Cemitério São João Batista	Novo
14	1	Cemitério São João Batista	Novo
14	2	Cemitério São João Batista	Novo
14	3	Cemitério São João Batista	Novo
14	4	Cemitério São João Batista	Novo
14	5	Cemitério São João Batista	Novo
14	6	Cemitério São João Batista	Novo
14	7	Cemitério São João Batista	Novo
14	8	Cemitério São João Batista	Novo
14	9	Cemitério São João Batista	Novo
14	10	Cemitério São João Batista	Novo
14	11	Cemitério São João Batista	Novo
14	12	Cemitério São João Batista	Novo
14	13	Cemitério São João Batista	Novo
14	14	Cemitério São João Batista	Novo
14	15	Cemitério São João Batista	Novo
14	16	Cemitério São João Batista	Novo
14	17	Cemitério São João Batista	Novo
14	18	Cemitério São João Batista	Novo
14	19	Cemitério São João Batista	Novo
14	20	Cemitério São João Batista	Novo
